place-name,type,notes
paris,city,"the city of lights, la ville lumière, la ville des lumières, paname, la capitale, lutetia, lutecia"
louvre,monument,"palais du louvre, musée du louvre, louvre museum"
saint-germain-l'auxerrois,quarter,
le marais,quarter,
palais-royal,quarter,
place-vendôme,quarter,
gaillon,quarter,
vivienne,quarter,
mail,quarter,
bonne-nouvelle,quarter,
arts-et-métiers,quarter,
enfants-rouges,quarter,
archives,quarter,
sainte-avoye,quarter,
saint-merri,quarter,
saint-gervais,quarter,
arsenal,quarter,
notre-dame,quarter,
quartier saint-victor,quarter,
jardin-des-plantes,quarter,
val-de-grâce,quarter,
sorbonne,quarter,
monnaie,quarter,
odéon,quarter,
notre-dame-des-champs,quarter,
saint-germain-des-prés,quarter,
saint-thomas-d'aquin,quarter,
les invalides,quarter,
école-militaire,quarter,
gros-caillou,quarter,
champs-élysées,quarter,
faubourg-du-roule,quarter,
la madeleine,quarter,
europe,quarter,
saint-georges,quarter,
chaussée-d'antin,quarter,
faubourg-montmartre,quarter,
rochechouart,quarter,
saint-vincent-de-paul,quarter,
porte-saint-denis,quarter,
porte-saint-martin,quarter,
hôpital-saint-louis,quarter,
folie-méricourt,quarter,
saint-ambroise,quarter,
la roquette,quarter,
sainte-marguerite,quarter,
bel-air,quarter,
picpus,quarter,
bercy,quarter,
quinze-vingts,quarter,
salpêtrière,quarter,
la gare,quarter,
maison-blance,quarter,
croulebarbe,quarter,
montparnasse,quarter,
parc montsouris,quarter,
petit-montrouge,quarter,
plaisance,quarter,
saint-lambert,quarter,
necker,quarter,
grenelle,quarter,
javel,quarter,
auteuil,quarter,
la muette,quarter,
porte-dauphine,quarter,
montmartre,quarter,mont martre
chaillot,quarter,
plaine monceau,quarter,
les ternes,quarter,
batignolles,quarter,
grandes-carrières,quarter,
épinettes,quarter,
clignancourt,quarter,
goutte-d'or,quarter,
la chapelle,quarter,
la villette,quarter,
pont-de-flandres,quarter,
amérique,quarter,
combat,quarter,
belleville,quarter,
saint-fargeau,quarter,
père-lachaise,quarter,
charonne,quarter,
place du panthéon,plaza,
avenue des champs-élysées,avenue,"champs-élysées, champs élysées, champs eliseés, elysian fields"
avenue victor hugo,avenue,
avenue henri-martin,avenue,henri martin
avenue montaigne,avenue,
rue de rivoli,street,rivoli
