AUTHOR,TEXT TITLE,PUBLICATION DATE,FILE FOUND,NOTES
F. Scott Fitzgerald,"""Babylon Revisited""",1931,yes,
Anne Sextion,"""Walking in Paris"" (Live or Die)",1966,yes,
Gwendolyn Bennett,"""Lines Written at the Grave of Alexandre Dumas",1926,yes,
James Baldwin,"""The Negro in Paris""",1950,yes,
Henry James,The Ambassadors,1909,yes,
Henry James,"""The Velvet Glove""",1909,yes,
Edith Wharton,The Age of Innocence,1920,yes,
Edith Wharton,The Custom of the Country,1913,yes,
Benjamin Franklin,Autobiography of Benjamin Franklin,1791,yes,
Benjamin Franklin,Letter to Mary Stevenson,1767,yes,
John Adams & Abigail Adams,"Familiar Letters of John Adams and his Wife Abigrail Adams, During the Revolution.",1875,yes,
James Monroe,Letter,1804,yes,
James Monroe,Letter,1796,yes,
John Adams,Diary Entry,1782,yes,
John Adams,Diary Entries,1783,yes,
John Adams,Diary & Letters,1778,yes,
John Adams,Diary & Letters,1785,yes,
John Adams,Diary Entries,1784,yes,
Abigail Adams,Letters,1784,yes,
Thomas Jefferson,"Memoir, Correspondence, and Miscellanies, From the Papers of Thomas Jefferson.",1829,yes,
Thomas Jefferson,"The Writings of Thomas Jefferson: Autobiography, Correspondence, Reports, Messages, Addresses, and Other Writings, Official and Private",1861,yes,
Gouverneur Morris,The Diary and Letters of Gouverneur Morris,1888,yes,
Thomas Paine,The Rights of Man Vol 1,1791,yes,
Thomas Paine,The Rights of Man Vol 2,1792,yes,
Thomas Paine,The Writings of Thomas Paine Vol 3,1895,yes,(written 1791-1804)
James Gallatin,"The Diary of James Gallatin, Secretary to Albert Gallatin, A Great Peace Maker, 1813-1827",1900,yes,(written 1813-1827)
Mark Twain,"""Paris Notes""",N/A,yes,(written between 1840-1870)
Mark Twain,The Innocents Abroad,1869,yes,
Henry James,The Portrait of a Lady,1881,yes,
W.C. Brownell,"""New York After Paris""",1888,yes,
W.C. Brownell,"""French Traits""",1889,yes,
Henry Wadsworth Longfellow,Outre-mer: A Pilgrimage Beyond the Sea,1835,yes,
W.E.B DuBois,"""The American Negro at Paris""",1900,yes,
George Ticknor,"Life, Letters, and Journals of George Ticknor",1909,yes,
Ralph Waldo Emerson,Journals of Ralph Waldo Emerson,1833,yes,
Nathaniel Parker Willis,Pencillings by the Way: Written During Some Years of Residence and Travel in Europe.,1852,yes,
James Fenimore Cooper,Gleanings in Europe,1837,yes,
James Fenimore Cooper,"A Residence in France: With an Excursion Up the Rhine, and A Second Visit to Switzerland",1836,yes,
James Fenimore Cooper,A Letter to His Countrymen,1834,yes,
Randolph Bourne,"""Mon Amie""",1920,yes,
Phineas T. Barnum,"Struggles and Triumphs: or, Forty Years' Recollections of P.T. Barnum",1872,yes,
George Catlin,"Adventures of the Ojibbeway and Ioway Indians in England, France, and Belgium: Being Notes of Eight Years' Travels and Residence in Europe With His North American Indian Collection",1852,yes,
Margaret Fuller,At Home and Abroad  or Things and Thoughts in America and Europe.,1860,yes,
Harriet Beecher Stowe,Sunny Memories of Foreign Lands,1854,yes,
Nathaniel Hawthorne,Passages From the French and Italian Notebooks,1858,yes,
Elihu Benjamin Washburne,Recollections of A Minister to France,1886,yes,(written 1869-1877)
Henry James,"""Occasional Paris""",1878,yes,
Oliver Wendell Holmes,The Autocrat of the Breakfast-Table,1858,yes,
Richard Harding Davis,About Paris,1895,yes,
Isadora Duncan,My Life,1927,yes,
James Weldon Johnson,The Autobiography of an Ex-Colored Man,1912,yes,(published again in 1927)
James Welson Johnson,Along This Way,1933,yes,(I typed the Paris portion since I couldn't find a good copy)
Theodore Dreiser,A Traveler at Forty,1913,yes,
Edith Wharton,The War on All Fronts: Fighting France from Dunkerque to Belport,1918,yes,
Edith Wharton,A Backward Glance,1934,yes,
Randolph Bourne,History of a Literary Radical,1920,yes,
Ernest Hemingway,The Sun Also Rises,1926,yes,
Ernest Hemingway,in our time,1924,yes,
Ernest Hemingway,"""The Snows of Kilimanjaro""",1938,yes,
Ernest Hemingway,A Moveable Feast,1964,yes,
Ernest Hemingway,The Garden of Eden,1986,yes,(written c. 1946)
F. Scott Fitzgerald,Tender is the Night,1933,yes,
Ezra Pound,Indiscretions,1923,NO,
Ford Madox Ford,Women and Men,1923,NO,
Gertrude Stein,The Autobiography of Alice B. Toklas,1933,yes,
Gertrude Stein,Paris France,1940,yes,
Gertrude Stein,Tender Buttons,1914,yes,
Djuna Barnes,Nightwood,1936,yes,
Langston Hughes ,The Weary Blues,1926,yes,
Langston Hughes,The Big Sea,1940,yes,
James Baldwin,Giovanni's Room,1956,yes,
James Baldwin,Notes of a Native Son,1955,yes,
Richard Wright,Savage Holiday,1954,NO,
Chester Himes,A Case of Rape,1956,yes,
Chester Himes,My Life of Absurdity,1990,NO,
Sherwood Anderson,"""A Story-Teller's Story""",1924,yes,
Saul Bellow,"""My Paris""",1983,yes,
Janet Flanner,Paris Journal: 1945-1965,1965,yes,
Janet Flanner,Paris Was Yesterday 1925-1939,1972,yes,
Allen Ginsberg,"""Kaddish""",1969,yes,
Jack Kerouac,Satori in Paris,1966,NO,
Natale Barney,Poems & Poèmes: Autres Alliances,1920,yes,(Taken from: A Perilous Advantage: The Best of Natalie Clifford Barney)
H.D.,Bid Me to Live (A Madrigal),1960,NO,
John Dos Passos,Journey Between Wars,1938,yes,
John Dos Passos,Three Soldiers,1921,yes,
Robert McAlmon,The Nightinghouls of Paris,2007,yes,(written early 19th century)
Sylvia Beach,Shakespeare and Company,1956,yes,
Edmund White,The Flaneur: A Stroll through the Paradoxes of Paris,2001,yes,
Adam Gopnik,Paris to the Moon,2000,yes,
Anais Nin,"Mirages: The Unexpurgated Diary of Anais Nin, 1939-1947",2013,yes,
Anais Nin,Under a Glass Bell,1944,yes,
Diane Johnson,Le Divorce,1997,yes,
Diane Johnson,Into a Paris Quartier: Reine Margot's Chapel and Other Haunts of St.-Germain,2006,yes,
Janet McDonald,Project Girl,2000,yes,
Countee Cullen,"""To France""",1932,yes,
T.S. Eliot,"""The Love Song of J. Alfred Prufrock""",1920,yes,
Harold Loeb,The Professors Like Vodka,1927,yes,
David Sedaris,Me Talk Pretty One Day,2000,yes,
Henry Miller,Tropic of Cancer,1934,yes,
E.E. Cummings,is 5,1926,yes,
Anne Sexton,"August 30, 1963 letter",1963,yes,
Elliott Hester,"Adventures of a Continental Drifter: An Around-the-World Excursion into Weirdness, Danger, Lust, and the Perils of Street Food",2005,yes,
C.K. Williams,"""On the Metro""",2005,yes,
Frederick Douglass,"Letter from Paris to ""friends Hayden and Watson""",1886,NO,
William Gardner Smith,The Stone Face,1963,NO,
Carl Van Vechten,Petter Whiffle: His LIfe and Works,1922,yes,
Benjamin Franklin,"""Letter to the Editor of the Journal of Paris, 1784""",1784,yes,
James Salter,A Sport and a Pastime,1967,yes,
Robert McAlmon,Being Geniuses Together 1920-1930,1984,yes,
Kay Boyle,Wedding Day,1930,yes,
Kay Boyle,Fifty Stories,1992,yes,
Anita Loos,Gentlemen Prefer Blondes,1925,yes,
Waverley Root,"The Paris Edition: The Autobiography of Waverley Root, 1927-1934",1987,yes,
Charles Lindbergh,The Spirit of St. Louis,1953,yes,
Matthew Josephson,Life Among the Surrealists,1962,NO,
Diana Vreeland,D.V. ,1984,yes,
M.F.K. Fisher,As They Were,1982,NO,
A.J. Liebling,Between Meals: An Appetite for Paris,1959,NO,
S.J. Perelman,"""The Saucier's Apprentice""",1956,yes,
Art Buchwald,I'll Always Have Paris,1996,yes,
Cole Porter,"""You Don't Know Paree""",1929,yes,
Elizabeth Bishop,"""Paris, 7 A.M.""",1937,yes,
Henry Miller,Black Spring,1936,yes,
